#调值	［1］55［2］21［3］52［5］213
#ɿ	
ts [1]资姿咨兹滋 [3]紫姊子梓滓 [5]自字	
tsʰ [2]雌赐池驰瓷慈辞祠词持赤 [3]此耻 [5]刺次伺秩斥	
s [1]斯厮撕施私狮螄尸思丝司思诗 [3]死 [5]势誓四肆似祀寺饲事侍	
#ʅ	
tʂ [1]知蜘支枝脂之芝汁只 [2]置执侄质直值织职植殖 [3]纸只指旨止址趾 [5]制智翅致稚至痔治志痣蛰掷	
tʂʰ [1]痴齿吃 [2]迟尺	
ʂ [2]嗜时湿十拾实失室食识适释石 [3]屎史使驶始 [5]世逝是氏示视士仕柿试市式饰	
ʐ [2]日	
#i	
p [2]毙泌庇鼻毕必逼碧璧壁 [3]彼鄙比 [5]蔽币闭陛被避备弼	
pʰ [2]皮疲脾琵枇匹僻霹 [5]屁	
m [2]迷谜弥秘眉楣篾密蜜 [3]米觅 [5]溺	
t [1]低 [2]迭的嫡狄笛敌涤 [3]底抵 [5]帝蒂弟第递隶地	
tʰ [1]梯 [2]堤替涕题提蹄啼剔踢 [3]体 [5]剃	
n [2]犁离篱璃梨厘立笠粒栗力历 [3]礼狸李里理鲤 [5]厉励丽莉荔利痢	
tɕ [1]鸡饥肌几（茶~）基箕姬机讥 [2]杞缉集辑急级及疾即鲫棘极戟脊迹积籍绩寂激击 [3]挤己纪几虮 [5]戒祭际济剂计继髻寄	
tɕʰ [1]溪妻凄欺期悽 [2]齐脐奇骑岐棋旗其祈泣七漆乞 [3]启起岂 [5]契企器弃气汽戚	
ɕ [1]些西栖犀兮玺牺熙希稀蟋锡 [2]系徙习袭吸悉膝息熄媳隙昔惜夕席析 [3]洗嬉嘻禧喜 [5]细系戏	
ȵ [2]泥倪尼呢疑 [3]你 [5]仪义腻逆	
Ǿ [1]衣依医伊 [2]移遗一壹 [3]椅以已亦 [5]夷毅艺缢宜蚁谊议易姨意怡异邑乙逸抑忆亿翼益易	
#u	
p [2]不 [3]补捕讣卜 [5]布怖部步	
pʰ [1]铺（~床）[2]赴仆蒲菩脯葡朴扑瀑浦 [3]甫谱普 [5]铺（店~）	
m [2]木沐 [3]牡母拇 [5]暮慕墓募幕	
f [1]呼乎夫肤俘麸 [2]胡湖糊狐壶葫蝴胡符扶芙俘忽弗佛幅福蝠腹辐覆伏服袱复 [3]虎浒府腑斧抚釜腐辅 [5]户互护付赋傅咐父附富副负妇复	
t [1]都（~市）[2]独读犊督毒 [3]堵赌 [5]肚妒杜肚度渡度踱	
tʰ [2]途屠徒涂图突凸秃 [3]土吐 [5]兔	
n [2]奴卢炉芦庐律鹿禄六陆录 [3]努鲁橹虏卤 [5]怒路露鹭	
ts [1]租诸 [2]卒逐足 [3]祖组阻 [5]做著助	
tsʰ [1]粗初 [2]锄猝族促 [3]楚 [5]醋	
s [1]苏酥梳疏蔬舒输殊 [2]速宿叔俗束蜀属 [3]鼠暑墅署薯 [5]素诉塑恕数竖漱述术	
z [2]如入 [3]儒乳辱褥	
tʂ [1]猪诛蛛株朱硃珠 [2]啄竹筑轴祝烛嘱 [3]煮主 [5]驻柱住注蛀铸	
tʂʰ [2]触除厨橱雏出畜 [3]拄储处	
ʂ [1]书 [2]熟 [5]树	
k [1]姑孤辜 [2]骨谷 [3]古估股鼓 [5]故固雇顾	
kʰ [1]枯箍 [2]哭酷 [3]苦 [5]库裤	
Ǿ [1]乌污巫诬 [2]吴蜈梧悟恶无物屋 [3]五伍午武舞侮 [5]误务雾戊勿	
#y	
n [2]驴率绿 [3]吕旅缕履 [5]虑滤	
tɕ [2]橘局 [5]剧	
tɕʰ [1]蛆 [2]曲 [3]取 [5]砌	
ɕ [2]胥徐绪婿戌 [5]絮序叙	
ȵ [3]女	
Ǿ [2]疫 [3]屿 [5]域役	
#ɚ	
Ǿ [2]儿而 [3]尔耳饵 [5]二贰	
#a	
p [1]巴芭疤笆杷 [2]爸八拔 [3]把 [5]坝把（刀~）罢	
pʰ [2]耙爬钯 [5]帕怕	
m [1]妈 [2]麻抹 [3]马码 [5]骂	
f [2]法乏发伐筏罚	
t [2]搭答沓达 [3]打 [5]大	
tʰ [1]他 [2]踏搨塔榻遢溻塌	
n [1]垃拉 [2]那拿纳腊蜡辣捺 [3]哪	
ts [2]杂	
tsʰ [1]差（~别，~不多）[2]擦	
s [3]洒傻撒萨	
tʂ [1]渣扎（针~）[2]眨闸炸（油~）扎（~紧）轧 [5]诈榨炸（轰~）	
tʂʰ [1]杈叉岔钗 [2]茶搽查插察察	
ʂ [1]沙纱痧砂杉 [2]杀	
x [2]虾（~蟆）[5]吓（~一跳）	
Ǿ [1]阿	
#ia	
tɕ [1]家加嘉稼佳 [2]夹甲胛挟荚 [3]假贾 [5]架驾嫁价	
tɕʰ [2]掐恰洽	
ɕ [1]虾 [2]霞狭峡匣侠瞎辖 [5]厦夏下	
Ǿ [1]鸦丫 [2]牙芽衙蚜涯鸭押 [3]雅哑 [5]亚压	
#ua	
tʂ [1]抓	
ʂ [2]涮刷 [3]耍	
k [1]瓜 [2]刮 [3]寡 [5]挂卦褂	
kʰ [3]垮 [5]跨	
x [1]花 [2]华铧划桦滑猾 [5]化画话	
Ǿ [1]挖蛙洼 [2]娃袜 [3]瓦	
#e	
p [2]北百柏伯白	
pʰ [2]泊迫拍魄	
m [2]墨默脉麦	
t [2]得德	
tʰ [2]特	
n [1]勒 [2]肋	
ts [2]浙则侧摘责 [3]者	
tsʰ [1]笡 [2]泽厕撤恻测拆择册策	
s [2]摄涉涩设虱塞色啬 [5]塞	
z [2]热 [3]惹	
tʂ [1]遮 [2]蔗哲蜇辙折仄窄	
tʂʰ [1]车差 [2]澈 [3]扯	
ʂ [1]赊奢 [2]蛇赦舌折 [3]舍 [5]射舍社	
k [2]格骼革隔 [3]嗝	
kʰ [2]咳克刻客	
x [2]亥核黑赫吓（恐~）	
ŋ [2]额	
#ie	
p [1]鳖憋 [2]别（分~）滗 [3]瘪	
pʰ [2]别（~针）撇辟劈	
m [2]灭蔑	
t [1]爹 [2]跌叠碟牒蝶谍滴	
tʰ [2]帖贴铁	
n [2]例猎列烈 [5]裂劣	
tɕ [1]皆阶街 [2]接劫杰揭竭节结洁吉 [3]姐解 [5]戒借介界届械	
tɕʰ [2]茄妾捷怯切窃截 [3]且	
ɕ [1]蝎 [2]邪斜谐携胁协歇偕泄 [3]写 [5]卸谢	
ȵ [2]聂镊蹑业孽捏匿	
Ǿ [1]耶椰 [2]爷叶页译 [3]也野 [5]夜液腋	
#ue	
k [2]国	
kʰ [2]括廓扩	
x [2]或惑	
#ye	
tɕ [2]绝决诀爵 [5]憠	
tɕʰ [2]缺	
ɕ [1]削 [2]靴薛雪血穴衅恤	
ȵ [2]疟	
Ǿ [1]曰 [2]月越粤	
#o	
p [1]波菠玻 [2]薄簿拨勃脖博剥驳 [3]簸跛 [5]播	
pʰ [1]坡 [2]婆泼 [5]破	
m [1]摩抹摸 [2]磨（~刀）魔蟆模没膜寞陌 [5]磨（石~）末沫	
t [1]多 [2]夺 [3]朵躲 [5]舵剁惰堕	
tʰ [1]拖 [2]驼驮脱托讬拓 [3]妥	
n [1]啰骆 [2]挪罗锣箩萝骡螺脶酪乐络 [3]裸 [5]糯摞诺落烙洛	
ts [2]佐撮昨作着 [3]左 [5]坐座	
tsʰ [1]搓 [5]挫措错凿	
s [1]蓑梭唆 [2]索缩 [3]锁琐所	
z [2]若弱	
tʂ [2]酌桌卓捉镯	
tʂʰ [2]矬拙绰戳浊	
ʂ [2]说硕	
k [1]歌哥锅戈胳 [2]鸽割葛各搁郭角阁 [3]果裹 [5]个过	
kʰ [1]棵科颗磕 [2]阔壳渴 [3]可 [5]课	
x [1]喝（~水）[2]荷何河荷和禾合盒喝（~彩）豁鹤活霍获 [3]火伙 [5]贺货祸	
ŋ [2]鳄愕腭恶 [3]我	
Ǿ [2]鹅沃 [5]饿卧	
#io	
n [2]略掠	
tɕ [2]掘脚觉	
tɕʰ [2]屈雀鹊却确	
ɕ [2]学续	
Ǿ [2]悦阅虐约药钥乐岳育狱	
#uo	
x [2]藿	
Ǿ [1]蜗倭窝莴凹 [2]蛾俄握	
#yu	
s [2]肃	
#ai	
p [3]摆 [5]拜败	
pʰ [2]排牌徘 [5]派	
m [2]埋 [3]买 [5]卖迈	
t [1]呆 [3]逮 [5]戴贷待怠代袋带	
tʰ [1]胎 [2]台苔抬 [5]态太泰	
n [2]来 [3]乃奶 [5]耐奈赖癞	
ts [1]灾栽斋 [3]宰 [5]再载在债	
tsʰ [1]猜 [2]才材财裁豺 [3]彩采睬 [5]寨菜蔡	
s [1]腮鳃	
tʂ [2]宅	
tʂʰ [2]柴 [3]踩	
ʂ [1]筛 [5]晒	
k [1]街该 [3]改 [5]溉盖丐	
kʰ [1]揩开 [3]凯慨楷 [5]概	
x [2]孩骇鞋还（~是）[3]海 [5]害	
ŋ [1]挨 [2]岩崖 [3]矮 [5]碍爱艾隘	
Ǿ [1]哀埃	
#uai	
tʂ [5]拽	
tʂʰ [1]揣 [3]喘	
ʂ [1]衰 [3]摔 [5]帅率蟀	
k [1]乖 [3]拐 [5]怪	
kʰ [3]块 [5]会（~稽）刽块筷	
x [2]怀槐淮 [5]坏	
Ǿ [1]歪 [5]外	
#ei	
p [1]杯碑卑婢悲 [5]贝狈辈背倍臂被	
pʰ [1]批柸披 [2]培陪赔裴 [5]沛配佩	
m [2]梅枚煤媒玫莓霉媚 [3]每美 [5]妹昧	
f [1]飞非 [2]肥 [3]匪妃翡 [5]废肺痱沸费	
#uei	
t [1]堆 [5]对队兑	
tʰ [1]推 [3]腿 [5]退褪	
n [2]擂（~鼓）雷 [3]屡累垒 [5]擂（~台）内累类泪	
ts [1]追 [2]贼 [3]嘴 [5]罪最赘醉坠	
s [1]虽 [2]髓随绥谁 [5]岁遂隧	
z [5]锐	
tʂʰ [1]吹 [2]垂锤	
ʂ [3]水 [5]税睡	
k [1]圭闺规龟轨归 [3]诡鬼 [5]瑰桂跪柜贵	
kʰ [1]盔亏 [2]魁奎逵葵 [3]傀 [5]溃愧	
x [1]恢诙灰挥辉徽 [2]回徊茴迴 [3]悔晦毁 [5]贿汇桧会绘秽惠慧讳卉	
Ǿ [1]薇巍威 [2]桅危伪为帷维唯微围违纬苇 [3]萎委尾伟 [5]卫喂为（~了）位未味魏畏慰胃谓猬	
#au	
p [1]包胞雹 [3]保宝堡饱 [5]报抱暴菢豹爆刨曝	
pʰ [1]抛剖 [2]袍刨 [3]跑 [5]泡炮	
m [1]猫 [2]毛茅矛 [3]卯 [5]冒帽貌	
t [1]刀叨 [3]倒（打~）岛捣 [5]祷倒（~着走）到稻道导盗蹈	
tʰ [1]滔掏萄涛 [2]桃逃淘陶 [3]讨 [5]套	
n [1]捞唠 [2]劳牢痨涝挠 [3]脑恼老姥 [5]闹	
ts [1]糟遭朝 [3]早枣蚤澡 [5]灶	
tsʰ [1]操缲 [2]曹槽潮朝 [3]草騲 [5]躁糙造燥	
s [1]骚臊 [3]嫂扫	
z [2]饶 [3]扰绕	
tʂ [1]召昭招沼 [3]爪找 [5]皂罩赵兆照诏	
tʂʰ [1]抄钞超 [2]巢 [3]炒吵	
ʂ [1]梢筲稍烧 [2]韶勺芍 [3]少（多~）晌 [5]潲哨少（~爷）绍	
k [1]高膏篙糕羔 [3]稿搞 [5]告窖	
kʰ [1]敲（~门）[3]考烤拷 [5]靠铐	
x [1]薅蒿 [2]毫豪壕号（~叫）[3]好（~坏）[5]好（爱~）耗浩号郝	
ŋ [2]熬 [3]袄咬 [5]傲奥澳懊拗	
Ǿ [5]坳	
#iau	
p [1]膘标彪 [3]表婊	
pʰ [1]飘 [2]瓢嫖 [5]漂票	
m [2]苗描 [3]秒渺藐 [5]庙妙谬	
t [1]刁雕貂凋 [5]吊钓调（~动、音~）掉	
tʰ [1]挑 [2]条调（~合）[5]跳	
n [2]燎疗辽聊寥撩僚 [3]了 [5]廖料镣	
tɕ [1]交胶郊教焦蕉椒骄娇浇 [2]嚼 [3]绞狡搅剿缴侥饺 [5]教较觉轿叫	
tɕʰ [1]敲锹悄撬 [2]樵瞧荞侨桥乔 [3]巧窍 [5]俏翘	
ɕ [1]消宵霄硝销逍肖嚣萧箫 [3]小晓 [5]酵校哮孝淆效笑	
ȵ [3]鸟 [5]尿	
Ǿ [1]妖邀要（~求）夭幺吆 [2]摇谣姚窑遥尧 [3]舀 [5]要耀跃	
#əu	
t [1]都（~是）兜 [3]斗（十升为~）抖陡 [5]斗（~争）豆痘逗	
tʰ [1]偷 [2]头投 [5]透	
n [2]楼 [3]娄搂 [5]漏陋	
ts [1]邹绉 [3]走肘	
tsʰ [2]愁仇	
s [1]搜馊 [5]嗽瘦兽	
z [2]柔揉 [5]肉	
tʂ [1]周舟州洲粥 [3]帚 [5]昼纣宙咒	
tʂʰ [1]抽 [2]绸稠筹酬 [3]丑 [5]奏凑骤臭	
ʂ [1]收 [3]手首 [5]受寿授售	
k [1]沟勾钩 [3]狗苟 [5]垢够构购	
kʰ [1]抠 [3]口 [5]叩扣寇	
x [2]侯（诸~）喉猴 [3]吼 [5]后厚侯（等~）	
ŋ [1]欧区（姓~）[3]藕偶呕殴 [5]怄	
#iəu	
t [1]丢	
n [1]溜 [2]流留刘榴琉硫馏 [3]柳	
tɕ [1]揪鸠阄纠灸咎 [3]酒九久韭 [5]就救究臼舅旧	
tɕʰ [1]秋鳅丘 [2]囚求球仇	
ɕ [1]修羞休 [3]朽 [5]秀绣锈袖嗅	
ȵ [2]牛 [3]纽扭	
Ǿ [1]优忧悠幽 [2]尤邮由油游犹 [3]有友 [5]又右佑诱幼	
#æⁿ	
p [1]班斑扳颁 [3]板版 [5]扮办瓣	
pʰ [1]攀 [5]盼襻	
m [2]蛮 [5]慢蔓	
f [2]凡帆梵 [5]泛范犯	
t [1]耽担丹单 [3]胆 [5]担淡旦诞但弹蛋	
tʰ [1]贪坍滩摊瘫 [2]潭谭坛谈痰檀坛弹 [3]毯坦 [5]探叹炭	
n [2]南男婪蓝篮难兰拦栏 [3]览揽榄缆懒 [5]滥难（逃~）烂	
ts [3]展 [5]暂灒	
tsʰ [1]参餐 [2]蚕惭残 [3]惨产 [5]灿	
s [1]三 [3]散（松~）伞 [5]散（分~）善	
z [3]染冉	
tʂ [1]沾粘瞻占簪 [3]斩盏 [5]站占赞绽栈战颤	
tʂʰ [2]搀 [3]蝉禅馋谗	
ʂ [1]衫山删搧 [2]禅 [3]陕闪 [5]扇膳单（姓~）	
k [1]甘柑尴干肝竿杆 [3]感敢橄秆擀赶 [5]干	
kʰ [1]堪龛勘刊 [3]坎砍槛 [5]看	
x [1]憨鼾 [2]含函咸寒韩 [3]喊罕 [5]撼憾陷（~害）汉旱捍汉焊翰	
ŋ [1]庵淹安鞍 [5]暗岸按案晏	
#iɛⁿ	
p [1]鞭编边 [3]贬蝙扁匾 [5]变辩辨便辫	
pʰ [1]篇偏 [2]便（~宜）[5]骗遍片	
m [2]棉绵眠 [3]免勉缅娩 [5]面	
t [1]掂踮颠癫 [3]点典 [5]店簟电殿奠垫淀	
tʰ [1]添天 [2]甜田填 [3]舔	
n [2]廉镰帘敛连联怜莲 [3]脸 [5]殓练炼链炼恋	
tɕ [1]间监尖兼艰奸煎肩坚 [3]减碱检俭简拣锏剪茧 [5]鉴舰渐剑箭溅践贱件建毽键健腱荐见	
tɕʰ [1]忏纤铅歼签迁笺千牵 [2]潜钳钱乾虔前 [3]浅谴 [5]欠歉纤	
ɕ [1]仙先 [2]衔嫌闲贤 [3]险显 [5]馅限线羡宪献现县	
ȵ [1]拈研 [2]阎严鲇年 [3]碾 [5]验酽念	
Ǿ [1]掩炎醃腌蔫焉烟胭咽 [2]盐檐颜延蜒言 [3]眼演衍 [5]雁厌艳焰谚堰砚燕宴	
#uæⁿ	
t [1]端 [3]短 [5]断锻断段缎	
tʰ [2]团	
n [3]暖卵	
ts [1]钻（~洞）[5]钻（~圈）	
tsʰ [5]篡	
s [1]酸 [5]算蒜	
z [3]软	
tʂ [1]专砖 [3]转 [5]赚撰转篆传	
tʂʰ [1]川穿 [2]传船 [3]铲 [5]蹿窜串	
ʂ [1]拴	
k [1]官棺观（参~）关 [3]管馆 [5]冠贯灌罐观（道~）惯掼	
kʰ [1]宽 [3]款	
x [1]欢 [2]桓还（~原）环 [3]缓 [5]唤焕换幻患宦	
Ǿ [1]豌弯湾 [2]玩完丸纨顽 [3]晥碗晚挽腕宛 [5]万	
#yɛⁿ	
tɕ [1]绢捐 [3]卷（~走）[5]卷（试~）眷倦	
tɕʰ [1]圈 [2]全泉权拳 [3]犬 [5]劝券	
ɕ [1]鲜掀轩宣喧 [2]弦旋玄悬眩 [3]癣选 [5]旋	
Ǿ [1]冤渊 [2]圆员缘沿元原源袁辕园援猿 [3]远 [5]院愿怨	
#ən	
p [1]奔 [3]本 [5]笨	
pʰ [1]烹 [2]盆彭膨	
m [2]门 [5]闷	
f [1]分吩芬纷 [2]焚坟 [3]粉 [5]喷粪奋愤份	
t [1]敦墩蹲登灯 [3]等 [5]顿凳邓澄（~清）盾	
tʰ [1]吞 [2]屯豚臀藤腾誊 [5]盾沌钝	
n [2]仑伦沦轮能棱 [3]冷 [5]嫩论	
ts [1]珍尊遵增曾（姓~）争睁 [3]怎 [5]镇憎赠	
tsʰ [1]村 [2]层曾（~经）[5]趁衬寸蹭	
s [1]森参（人~）孙僧升生牲笙 [3]沈损笋省	
z [2]任（姓~）人仁 [3]紝忍刃扔 [5]任（~务）认仍	
tʂ [1]针斟臻真诊征蒸筝贞侦征 [3]枕振震拯整 [5]阵证症郑正政圳	
tʂʰ [1]伸称撑 [2]沉陈尘臣存澄（~清）橙秤承丞橙呈程成城诚盛（~饭）[3]惩逞 [5]称（相~）	
ʂ [1]深身申身 [2]神娠辰晨乘 [3]婶审 [5]渗甚肾慎剩胜圣盛（茂~）	
k [1]跟根更庚耕 [3]哽埂耿 [5]更	
kʰ [1]坑 [3]恳垦啃肯	
x [1]亨哼 [2]痕横 [3]很 [5]恨杏	
ŋ [1]恩 [5]硬	
#in	
p [1]彬宾滨殡冰兵 [3]禀丙秉柄饼 [5]病并	
pʰ [1]拼 [2]贫频苹凭平评坪瓶屏萍 [3]品姘 [5]聘	
m [2]民明鸣名铭 [3]敏抿皿 [5]命	
t [1]丁钉叮 [3]顶鼎 [5]钉订锭定	
tʰ [1]听（~话，~任）厅 [2]亭停庭廷蜓 [3]挺艇	
n [2]林淋临檩凛鳞磷临凌陵岭宁（安~，~可）灵零铃龄 [3]领拎 [5]吝凝（~倒了）令另	
tɕ [1]今金津巾斤筋茎京荆惊鲸精晶睛经 [3]锦紧仅谨境景警竟井颈 [5]禁尽进晋尽劲近敬镜竞静靖净劲径	
tɕʰ [1]钦亲清轻青蜻 [2]琴禽擒秦勤芹擎情晴 [3]寝请 [5]浸侵庆	
ɕ [1]心芯辛薪新欣兴（~旺）星腥猩馨 [2]行形刑型 [3]省（反~）醒 [5]信兴（高~）幸性姓	
Ǿ [1]音阴因姻洇殷鹰莺樱鹦英婴缨 [2]淫银蝇迎盈赢颖 [3]饮寅引隐瘾影尹 [5]饮（~秧子）印应映	
#uən	
z [5]孕润闰	
tʂ [3]准	
tʂʰ [1]春 [2]唇 [3]蠢	
ʂ [2]绳纯醇 [5]顺	
k [3]滚 [5]棍	
kʰ [1]昆坤 [3]捆 [5]困睏	
x [1]昏婚浑（~水）荤 [2]魂馄恒横（蛮~）[5]混	
Ǿ [1]温瘟 [2]文纹蚊闻 [3]刎稳 [5]问	
#yn	
tɕ [1]钧均君军 [5]俊肫菌郡	
tɕʰ [1]倾顷 [2]琼群裙	
ɕ [1]熏勋薰 [2]寻询旬循巡 [5]讯迅驯殉训	
Ǿ [1]晕 [2]咏营萤荥匀云耘 [3]尹永熨 [5]泳熨韵运	
#ɑŋ	
p [1]帮邦浜 [2]傍 [3]榜绑 [5]棒	
pʰ [2]旁螃庞 [5]胖	
m [2]忙芒茫盲氓 [3]莽蟒	
f [1]方芳 [2]坊妨房防 [3]肪仿纺仿仿访 [5]放	
t [1]当裆 [3]党挡档 [5]当（~铺）荡宕	
tʰ [1]汤 [2]堂棠螳唐糖塘 [3]倘躺 [5]烫趟	
n [2]囊郎廊狼螂 [3]朗 [5]浪	
ts [1]赃脏 [5]葬藏臓	
tsʰ [1]仓苍舱疮昌娼倡窗 [3]嗓 [5]丧（~失）	
s [1]桑丧（婚~）[3]嗓 [5]丧（~失）	
z [2]瓤 [3]酿壤攘嚷 [5]让	
tʂ [1]张章樟蟑 [3]长涨掌 [5]帐胀账丈仗杖障	
tʂʰ [2]怅长肠场 [3]厂 [5]畅唱	
ʂ [1]商伤 [2]常尝裳偿 [3]赏 [5]上尚	
k [1]刚纲钢冈缸肛 [3]岗港 [5]杠虹（一道~）	
kʰ [1]康糠慷 [2]扛 [5]抗炕	
x [1]夯 [2]行航杭 [5]项（颈~）巷（~道）	
ŋ [1]肮 [2]昂	
#iɑŋ	
n [2]良凉粮梁粱 [3]两辆 [5]量（数~）亮谅	
tɕ [1]将疆僵姜缰江豇 [3]蒋奖桨讲 [5]浆酱将（大~）匠降	
tɕʰ [1]枪羌腔 [2]墙强 [3]抢强（勉~）[5]呛	
ɕ [1]相箱厢湘镶香乡 [2]详祥翔降 [3]想饷享响 [5]项（~目）相象像向	
ȵ [2]娘	
Ǿ [1]央秧殃 [2]羊洋杨阳扬疡 [3]仰养痒 [5]样	
#uɑŋ	
tʂ [1]庄装妆桩 [5]壮状撞	
tʂʰ [2]床 [3]闯 [5]创	
ʂ [1]霜双 [3]爽	
k [1]光 [3]广	
kʰ [1]筐框匡眶 [2]狂 [5]旷况矿	
x [1]荒慌 [2]黄簧皇蝗蝗凰 [3]谎晃	
Ǿ [1]汪 [2]亡王 [3]网往枉 [5]望妄忘旺	
#oŋ	
p [1]崩绷 [5]迸	
pʰ [2]朋棚篷蓬 [3]捧 [5]喷（~香）碰	
m [1]懵 [2]谋萌盟蒙 [3]某亩猛 [5]茂贸孟	
f [1]风疯枫丰封蜂峰锋 [2]冯逢缝（~衣服）[3]否讽 [5]凤缝（一条~）奉俸	
t [1]东冬 [3]董懂 [5]冻栋动洞	
tʰ [1]通 [2]同铜桐筒童瞳 [3]捅桶统 [5]痛	
n [1]聋 [2]笼咙农脓隆窿浓龙陇 [3]拢垄砻 [5]弄	
ts [1]鬃棕宗综终踪 [3]总 [5]皱粽纵	
tsʰ [1]葱聪匆充 [2]丛崇从	
s [1]松嵩 [5]送宋诵颂讼	
z [2]绒戎茸熔	
tʂ [1]中忠衷钟舂 [3]种（~类，~田）肿 [5]中（射~）仲众重	
tʂʰ [1]囱冲（~锋）[2]虫重 [3]宠	
k [1]公工功攻蚣弓躬宫恭 [3]汞拱巩 [5]贡供共	
kʰ [1]空（天~，亏~）[2]控 [3]孔恐	
x [1]轰烘 [2]弘宏虹红洪鸿哄（内~）[3]哄（~骗）	
Ǿ [1]翁 [2]齆	
#ioŋ	
tɕ [1]龚	
tɕʰ [2]穷	
ɕ [1]兄胸凶 [2]熊雄	
Ǿ [1]雍庸 [2]荣融容溶蓉 [3]拥勇涌踊 [5]用	
