#参考资料	语保平台
#调值	[1]阴平31[2]阳平24[3]上声213[5]去41[7]入声55
#ɿ	
ts	[1]资态咨孜滋龇兹[3]子紫滓姊紫籽梓[5]渍[1]自{自己}
tsʰ	[1]疵刺眙[2]词慈瓷辞磁祠雌兹饲[3]此[5]次刺伺赐饲[1]字柿
s	[1]司丝思斯撕私嘶厮师狮狮厕{茅厕}[3]死使驶始史[5]巳四肆[1]事寺似士
#ʅ	
tʂ	[1]脂只支之枝知汁织芝吱蜘梔臟{食用油变质}[3]纸只{只有}指止址旨趾[5]致至志治智制挚痔窒滞痣稚置峙[1]职掷值殖[7]汁侄质秩帜
tʂʰ	[1]痴□{~倒:滑倒}嗤[2]持池迟驰弛匙治{~鱼}[3]齿耻[5]翅[1]直[7]尺赤斥
ʂ	[1]诗尸施[2]时识[3]矢始屎[5]市试世视势逝轼誓式嗜示拭[1]十是实柿{西红柿}[7]室适释饰
ʐ	[7]日
#i	
p	[1]屄[3]比彼鄙[5]蔽弊蓖避敝毙闭[7]笔碧必逼毕壁辟匕滗璧
pʰ	[1]批披砒劈霹坯[2]皮批疲啤琵脾[3]痞否{否极泰来}[5]屁僻辟{开辟}[1]鼻
m	[1]眯咪[2]迷弥猕糜靡[3]米[7]密秘蜜觅泌幂
t	[1]低提{提防}堤[3]底抵[1]第弟帝递谛[7]的滴敌笛迪
tʰ	[1]梯[2]提题啼蹄[3]体[5]替惕剃涕屉调嚏[1]地递[7]踢剔
n	[2]厘狸离梨犁黎璃篱尼泥霓昵倪[3]拟礼李里理鲤[5]腻[1]利厉丽励吏例莉粒笠[7]溺逆匿律立隶力栗沥历
tɕ	[1]击饥机基肌叽鸡积畸激稽羁[3]几己挤[5]计记妓纪伎系季剂际荞济既祭继寄忌冀骥[1]寂[7]及级即急集疾辑籍藉脊极迹
tɕʰ	[1]妻期欺戚沏凄嘁蹊栖[2]齐奇祁其脐骑崎旗棋麒[3]祈乞企启起歧岂取[5]气迄讫弃汽去[1]技[7]七沏漆泣砌吃
ɕ	[1]西稀溪嘻熙希牺兮嘶{大声喊叫}皙茜硒嬉[3]洗喜禧[5]戏细隙[1]系{院系}席[7]夕惜熄习袭媳
Ø	[1]衣医依伊[2]仪姨怡宜移遗颐疑彝咦[3]已以蚁倚椅[5]亿忆意亦抑毅裔羿逸骚异奕[1]艺绎易义议[7]一益乙译揖
#u	
p	[3]补捕哺[5]怖布埠[1]簿步{文}[7]不
pʰ	[1]扑铺{铺设}谱[2]菩葡蒲[3]普朴圃谱浦埔脯[5]铺{店铺}瀑[1]步{白}部[7]仆
m	[3]母牡亩拇姆[1]暮墓幕[7]沐牧目木睦穆
f	[1]夫肤敷[2]扶芙浮孚符氟抚[3]斧府俯釜辅腐甫[5]付负附附咐赴副幅赋富[1]父[7]复福辐服覆蝠伏佛傅拂腹
k	[1]孤咕估辜姑箍菇幠{被~}[3]古骨股蛊鼓[5]固故顾雇[7]谷梏
kʰ	[1]枯窟骷[2]葫[3]苦[5]酷库裤[7]哭
x	[1]乎呼忽[2]和{和牌}狐弧胡核壶湖瑚蝴糊[3]虎浒[1]互户护瓠沪核{桃核}
Ø	[1]污乌巫呜诬钨[2]无芜吴吾梧蜈[3]五午武伍舞捂鹉妩[5]捂悟戊[1]恶雾误务勿[7]兀屋物{~理}
#y	
n	[2]驴[3]女旅吕铝屡缕抨[1]虑滤
tɕ	[1]拘朱诛珠株猪诸蛛居鞠车{象棋}[3]主煮嘱瞩拄举沮[5]注著驻铸句剧据具聚巨距俱惧锯[1]祝蛀住炬[7]粥筑烛菊局桔橘竹
tɕʰ	[1]趋驱躯区祛[2]瞿除徐渠厨除滁橱雏[3]柞鼠处{处理}储[5]去{去皮}[1]柱[7]屈曲蛐矗触畜出
ɕ	[1]书抒殊舒淑疏输蔬虚需须[3]暑许署薯属蜀[1]恕树竖墅庶戌赎熟[7]叔淑塾述术
Ø	[1]迂淤[2]于如余鱼俞娱渔愉愚[3]雨宇屿羽语[1]与玉芋郁欲浴遇愈御预吁寓誉域裕喻谕育
#a	
p	[1]吧巴扒{扒开}叭芭疤粑爸笆[3]把靶[5]坝罢壩霸[7]八捌
pʰ	[1]趴啪琶杷[2]爬扒{扒手}耙[5]怕帕[1]拔稗
m	[1]妈[2]麻[3]玛码马蚂嘛[5]蟆[1]骂[7]抹
f	[2]乏[1]罚[7]发法阀筏伐砝
t	[1]哒[3]打[1]大[7]达搭答瘩耷嗒沓
tʰ	[1]他她它[7]塔踏榻塌蹋
n	[1]拉垃[2]拿[3]哪喇[5]那[7]呐纳钠钠娜捺腊蜡辣瘌
tʂ	[1]查{姓}渣喳[3]眨鲊[5]炸诈炸栅榨[7]札扎轧闸铡
tʂʰ	[1]差杈叉碴馇[2]茶查{调查}搽茬[5]岔[1]□[7]插察嚓
ʂ	[1]沙纱杉砂痧裟鳖刹[3]傻[5]厦 □[7]杀煞
ts	[7]杂砸咂匝
tsʰ	[7]擦
s	[3]洒[7]撒萨
k	[1]家[3]□[5]嫁架{架上去}尬[7]夹挟
kʰ	[1]咖[2]蛤跨{~门槛}[3]卡{卡片}咔[5]□{跨}[1]卡[7]掐
x	[1]虾哈[3]下{身份地位或等级低，品质差}[1]下[7]瞎
ŋ	[2]讶伢[3]□哑[1]轧{轧平}[7]压鸭
Ø	[1]阿啊
#ia	
t	[3]嗲
tɕ	[1]加佳枷伽袈嘉家稼[3]贾假[5]价架{衣架}驾[7]甲钾颊夹{夹袄}
tɕʰ	[7]恰洽
ɕ	[2]霞侠瑕[1]夏吓厦{厦门}[7]峡狭辖
Ø	[1]呀丫娅鸦押[2]牙芽涯崖衙蚜[3]雅[5]亚[1]压押
#ua	
tʂ	[1]抓[3]爪
ʂ	[3]耍[7]刷
#ua	
k	[1]瓜呱鹊[3]寡剐[5]挂卦褂[7]刮
kʰ	[1]夸[3]垮挎[5]跨胯
x	[1]花哗[2]划华[5]化[1]话画[7]滑猾
Ø	[1]哇洼蛙蜗[2]娃[3]瓦搲{~米}[7]挖袜
#o	
p	[1]波播玻菠卜{萝~ }[3]跋簸[1]薄[7]拨驳博脖勃铂泊搏膊
pʰ	[1]坡颇[2]婆[3]剖[5]破魄[7]泼迫
m	[1]摸[2]模摹模膜摩磨蘑魔[3]某抹{抹去}[1]茉慕莫[7]寞沫没末漠墨默
f	[2]佛
t	[1]多哆咄[3]朵躲[5]剁舵堕惰跺[7]□{盖章}掇踱铎沰{淋:~雨}
tʰ	[1]拖[2]驼驮沱鸵[3]椭妥[1]夺[7]托脱拓
n	[1]啰捋[2]挪罗萝逻骡螺锣[3]裸[1]糯[7]诺懦乐落骆洛络
tʂ	[1]啄[7]捉桌浊酌茁卓镯琢着
tʂʰ	[3]□[1]着{~火}[7]戳绰辍
ʂ	[7]硕烁朔砾
ʐ	[2]儿[3]耳饵[1]二[7]弱
ts	[3]左佐[5]做作[7]作撮
tsʰ	[1]搓磋跋挫撮[5]错措[1]坐座锉昨
s	[1]梭睃[3]所琐琐[7]缩溯索
k	[1]锅哥歌过[3]果裹[5]过个各[7]阁鸽搁割郭角
kʰ	[1]科颗棵苛[3]可渴[5]课[7]壳磕瞌扩廓搉
x	[1]呵豁[2]和禾河荷[3]火伙[5]货祸霍[1]活盒获[7]喝惑合鹤
ŋ	[1]阿{~胶}[2]俄讹娥鹅蛾[3]我[1]饿[7]□恶扼厄
Ø	[1]哦嘱
#io	
n	[7]掠略箬虐疟
tɕ	[7]脚觉
tɕʰ	[1]嚼[7]却雀确{的~}
ɕ	[1]学[7]削
Ø	[7]钥药约乐{音~}岳
#uo	
Ø	[1]窝莴屙蜗涡[2]讹{相差:~不少;怪罪;蔽诈}[7]卧握龌
#ɛ	
p	[1]掰[3]摆[5]拜[1]败
pʰ	[2]排牌[5]派湃[1]败{白}
m	[2]埋[3]买[1]卖迈脉
t	[1]待{待着}[3]逮歹傣[5]带戴[1]黛大{大夫}怠代
tʰ	[1]胎苔{舌苔}汰[2]台苔{青苔}抬蔓[5]太泰[1]态代{白}贷
n	[1]奶{奶奶}[2]来莱[3]奶乃[1]奈耐赖癞
tʂ	[1]斋[5]债[1]寨宅
tʂʰ	[1]钗差{出差}[2]柴豺
ʂ	[1]筛[5]晒
ts	[1]栽灾哉[3]载宰崽仔{牛~裤} [5]再[1]载{载人}
tsʰ	[1]猜[2]才财材裁[3]采彩睬踩[5]蔡菜[1]在
s	[1]腮鳃塞[3]□[5]赛塞{塞外}
k	[1]街该坟[3]改解{白}[5]丐钙盖概溉
kʰ	[1]开揩[3]凯楷慨恺
x	[1]嗨[2]还孩鞋{白}[3]海[5]亥[1]害骇
ŋ	[1]挨埃[3]矮蔼[5]爱[1]碍隘
Ø	[1]哎唉哀
#e	
p	[7]北伯百
pʰ	[1]白[7]拍
m	[7]脉默墨
t	[7]得德
tʰ	[7]特
tʂ	[1]遮[3]者[5]这[7]蔗摘哲浙蛰折
tʂʰ	[1]车[3]扯[7]撤澈彻
ʂ	[1]设舌赊奢歙佘[2]蛇[3]舍[5]射[1]□{亏本}社[7]摄涉设赦麝
ʐ	[3]惹[7]热
ts	[7]则责择泽
tsʰ	[1]厕[7]册侧策测拆
s	[7]色塞{瓶塞}糁{饭~子:饭粒}
k	[5]□[7]格隔革隔
kʰ	[7]咳刻克客
x	[1]嘿[7]黑褐赫吓
k	[1]□[3]给[5]□
x	[1]□[2]渠{他}
n	[1]勒[1]肋
#ei	
p	[1]卑杯悲碑[5]辈备被狈惫闭{白}贝背{背部}
pʰ	[1]胚呸[2]陪赔培[5]配佩沛[1]被{被子}背{背诵}
m	[2]眉玫梅嵋煤媒枚媚莓霉[3]每美[5]媚[1]妹昧
f	[1]飞非妃菲霏蜚[2]肥[3]翡匪[5]废吠拂肺沸费
t	[1]堆[3]□[5]对队兑
tʰ	[1]推梯{~子}[3]腿[5]退褪蜕
n	[3]蕾儡累{累积}磊垒[1]内累{劳累}泪类擂
ts	[3]嘴[5]最醉[1]罪
tsʰ	[1]催崔摧[5]脆翠萃粹瘁[1]罪{白}贼
s	[1]虽[2]随遂隋[3]髓[5]碎岁穗祟
#ɑu	
p	[1]包胞苞[3]保宝褒堡煲[5]豹鲍报[1]爆暴雹
pʰ	[1]抛[2]跑袍刨咆[5]泡炮
m	[1]猫[2]毛矛茅锚髦[3]卯铆 □{漏掉}[5]冒[1]茂贸貌帽
t	[1]刀叨鱽[3]倒{倒下}导岛祷蹈捣[5]到悼倒{倒立}[1]盗
tʰ	[1]涛掏滔[2]陶淘逃桃洮{~米}萄[3]讨[5]套[1]道稻
n	[1]孬捞唠[2]挠劳牢痨[3]脑恼瑙老姥佬[5]□{动}[1]闹涝烙酪痨
tʂ	[1]招昭朝{朝气}沼钊[3]找爪[5]照罩肇[1]召赵兆诏
tʂʰ	[1]抄超钞[2]朝{朝代}潮巢嘲[3]吵炒[5]耖
ʂ	[1]烧捎稍烧梢筲[2]勺韶[3]少{少有}[5]哨少{少年}邵[1]绍
ʐ	[2]饶[3]扰[1]绕
ts	[1]遭糟[3]早枣澡藻[5]噪燥躁灶[1]皂造
tsʰ	[1]操{操心}糙[2]曹槽[3]草驊[5]操{姓}[1]造{白}
s	[1]骚臊{腥臊}[3]嫂扫{打扫}[5]扫{扫地}臊{害臊}
k	[1]高篙膏羔糕跤{白}跤茭{~白}交{遍:洗两~ }[3]搞稿搅{打~ :打扰}[5]叫{~花子:乞丐}较{~秤}告觉{白}珓{占卜用具}
kʰ	[1]敲[3]考烤[5]铐搞靠拷
x	[1]蒿薅[2]豪毫嚎壕[3]好郝[5]好耗昊浩皓[1]号
ŋ	[1]□{喊}[2]熬鳌[3]袄咬[5]傲澳奥坳[1]懊
#əu	
t	[1]都蔸{树~:树根}兜[3]赌抖斗{计量单位}陡堵肚睹[5]斗逗妒[1]痘渡度镀[7]毒读督
tʰ	[1]偷[2]头投徒涂途屠图途[3]土敨[5]吐透兔[1]豆[7]秃突
n	[1]□[2]奴楼楼芦庐炉颅妒[3]努弩卤篓搂鲁[1]怒漏陋露路[7]鹿绿六陆禄碌赂录
tʂ	[1]周舟州洲[3]帚肘扭{拧开}[5]咒宙昼
tʂʰ	[1]抽[2]愁仇绸酬筹畴惆[3]丑瞅[5]臭
ʂ	[1]收[3]手守首[5]售[1]受兽寿授
ʐ	[2]柔揉揉蹂[7]肉
ts	[1]租[3]走诅阻组祖[5]奏揍[7]足族卒
tsʰ	[1]粗初[2]锄[3]楚础[5]凑醋[7]促
s	[1]搜嫂飕艘苏稣酥梳蔬疏[3]数擞[5]数素塑瘦漱诉[7]俗肃诉速宿
ʐ	[7]入
k	[1]勾沟钩鸠垢[3]苟狗构[5]构购垢够
kʰ	[1]抠眍[2]趔{蜷曲,足不伸}[3]口 □[5]扣叩寇
x	[1]瘊齁[2]喉猴侯[3]吼[5]后厚候
ŋ	[1]欧殴瓯[3]藕呕[5]沤怄
#ie	
p	[7]瘪憋鳖别{错~字}
pʰ	[3]瞥[1]别[7]撇潎
m	[7]灭蔑篾
t	[1]爹[7]跌谍碟蝶叠碟喋
tʰ	[7]帖贴铁
n	[3]捩{用力拧扭:~毛巾}咧 □{歪:~嘴}[7]捏涅孽聂镊镊烈列裂猎劣
tɕ	[1]嗟{叹词}[3]姐[5]借芥诫[1]绝[7]接杰结皆节洁劫截捷竭
tɕʰ	[2]茄[3]且[7]切窃妾怯惬
ɕ	[1]些[2]斜协携邪[3]写[5]泻卸屑[1]谢泄懈[7]歇屑雪血薛
ŋ	[7]额
Ø	[2]爷[3]也野冶[1]夜[7]页叶业腋
#iɛ	
tɕ	[1]街阶皆[3]解[5]介界届械戒
ɕ	[2]谐鞋[1]懈
Ø	[2]癌崖涯
#an	
p	[1]班颁斑扳[3]板版版[5]扮[1]办瓣
pʰ	[5]绊盼
m	[2]蛮[1]慢蔓
f	[1]帆番翻藩[2]烦凡繁矾[3]反返[1]饭犯范泛贩
t	[1]丹担{担任}单耽耽[3]胆疽掸[5]担{负担}但耽[1]弹{子弹}
tʰ	[1]坍摊瘫滩[2]坛谈弹{弹簧}谭潭痰檀昙[3]毯坦祖[5]叹炭碳[1]淡蛋
n	[2]难{难易}拦兰栏蓝篮岚[3]懒览揽缆榄[1]难{难兄难弟}烂滥
ts	[1]簪[3]攒[5]赞[1]暂
tsʰ	[1]参餐[2]残惭[3]惨[5]灿璨[1]暂{白}
s	[1]三[3]散{散开}伞[5]散{散步}
k	[1]甘柑尴间[3]橄赶感敢
kʰ	[1]刊勘堪铅{白}龛[2]鹃[3]砍侃坎槛[5]嵌
x	[1]酣憨黔[2]含咸函涵韩韩[3]喊罕[5]汉捍憾撼焊
ŋ	[1]安庵氨鞍[5]暗按晏
#ɛn	
tʂ	[1]沾粘瞻毡詹[3]崭斩展辗盏[5]占战蘸站
tʂʰ	[1]掺搀[2]馋缠谗禅蝉蝉蟾[3]产铲阐[5]忏颤
ʂ	[1]山删衫杉珊煽擅[3]闪陕[5]善扇汕膳擅鳝赡
ʐ	[2]然燃[3]冉染
#ən	
p	[1]奔镑[3]本[5]透
pʰ	[1]喷[2]盆[1]笨
m	[1]□[2]明{明朝}门[1]闷
f	[1]分芬吩纷[2]坟焚[3]粉[5]粪奋分畚愤[1]份氛
t	[1]吨登蹬蹲墩灯瞪敦[3]等吨[5]瞪邓凳蹬模盾炖顿
tʰ	[1]吞[2]疼腾藤誊滕臀豚[5]褪[1]钝
n	[2]能论{论语}[3]冷[1]嫩论{议论}愣
tʂ	[1]真贞针侦砧斟征蒸筝[3]诊整枕疹拯[5]正证政镇震振挣症[1]郑
tʂʰ	[1]称[2]陈臣沉晨辰尘成城程诚呈乘承橙盛垂[3]逞骋[5]称秤趁[1]阵
ʂ	[1]身深申伸绅呻升声[2]神绳[3]沈婶审[5]甚肾盛圣胜渗慎[1]剩
ʐ	[1]仍扔[2]人仁[3]忍[1]认任刃韧妊纫
ts	[1]增尊遵[3]怎[5]赠憎
tsʰ	[1]村撑皴[2]曾存[3]□[5]寸衬蹭
s	[1]孙甥生森参{人参}僧[3]损笋
k	[1]今跟根庚羹[3]耿梗哽埂粳[5]更[1]□
kʰ	[1]坑吭铿[3]肯啃恳垦[1]□
x	[1]哼亨[2]横痕恒衡[3]很狠[1]恨
ŋ	[1]硬
Ø	[1]恩
#on	
p	[1]搬般[5]半
pʰ	[1]潘攀[2]盘[5]判畔叛[1]伴拌
m	[2]瞒馒蛮[3]满螨[1]漫鳗
t	[1]端[3]短[5]锻煅缎
tʰ	[1]湍[2]团[1]断
ts	[1]钻[3]纂[5]钻{钻石}攥
tsʰ	[1]汆[2]蚕[5]窜篡
s	[1]酸[5]算蒜
n	[2]南男拦
k	[1]干肝竿官棺观[3]馆管莞秆赶敢擀[5]贯灌罐观惯贯
kʰ	[1]看宽[3]款
x	[1]欢獾[3]缓[5]幻换宦呼患焕旱[1]汗
ŋ	[1]豌[1]岸
#iɑu	
p	[1]标彪飙镖镳[3]表裱婊
pʰ	[1]漂{漂流}飘[2]缥瓢[3]漂{漂白}[5]漂{漂亮}票
m	[1]瞄[2]描苗描[3]秒渺藐[1]妙庙
t	[1]叼刁凋貂雕碉[3]屌[5]钓掉吊
tʰ	[1]挑{挑担}[2]条调{调节}窕迢[3]挑{挑起}[5]跳眺[1]调{调动}
n	[1]嬲[3]鸟袅[2]聊辽疗僚撩[3]了[1]尿料撂瞪镣潦
tɕ	[1]交教娇浇骄胶椒蕉缴郊[3]剿侥绞[5]叫[1]轿校
tɕʰ	[1]悄跷锹[2]桥乔侨荞憔[3]巧[5]翘俏窍撬鞘
ɕ	[1]肖削逍消宵萧箫嚣[3]小晓[5]笑孝啸[1]校效
Ø	[1]妖腰邀么吆夭[2]摇肴谣窑遥姚瑶[3]舀[5]要耀
#iɛn	
p	[1]边编蝙鞭便{方便}[3]扁匾贬[5]遍变辩辨
pʰ	[1]偏篇翩[2]便{便宜}骄[5]片骗[1]辫
m	[2]眠绵棉[3]免勉冕腼缅娩[1]面
t	[1]掂颠癫[3]点典碘[5]店电惦殿
tʰ	[1]天添[2]田甜填[3]舔腆[1]垫奠
n	[1]黏拈[2]年鲶研{白}严{白}连联鲢[3]撵辇脸碾[1]念练恋链
tɕ	[1]兼尖坚肩艰监奸[3]剪拣碱检减捡简茧检践柬[5]键建见荐剑毽鉴溅舰贱[1]渐健件
tɕʰ	[1]千迁牵铅谦签纤[2]前钱钳虔乾潜[3]浅谴遣[5]欠歉倩[1]件{白}
ɕ	[1]先仙掀鲜宣[2]闲嫌贤弦娴[3]显险选癣[5]现{出现}线献羡腺[1]现{现在}县陷馅宪限
Ø	[1]焉烟胭咽腌[2]盐严研言炎阎檐颜延沿[3]掩演[5]厌砚燕[1]堰验焰艳雁赝宴谚筵
#iəu	
m	[5]谬
t	[1]丢
n	[1]溜蹓妞扭{别扭}[2]牛刘留瘤硫榴流浏琉[3]纽扭{扭打}柳[5]遛溜
tɕ	[1]纠揪鸠阉[3]酒韭九玖灸[5]救臼疚[1]柩
tɕʰ	[1]丘秋邱鳅蚯[2]球求囚裘[1]舅旧就
ɕ	[1]休修羞[3]朽[5]绣秀锈[1]袖
k	[1]勾沟钩鸠垢[3]苟狗构[5]构购垢够
kʰ	[1]抠眍[2]趔{蜷曲,足不伸}[3]口 □[5]扣叩寇
x	[1]瘊齁[2]喉猴侯[3]吼[5]后厚候
ŋ	[1]欧殴瓯[3]藕呕[5]沤怄
Ø	[1]优幽忧悠枚黝[2]油由犹游尤邮鱿[3]有友[5]幼诱[1]又袖右佑[7]域狱裕浴{沐浴}
#ɚ	
Ø	[2]儿而[3]耳饵[1]二
#uɛ	
k	[1]乖[3]拐[5]怪
kʰ	[5]快块筷侩会{会计}
x	[2]怀淮槐躁徊[1]坏
Ø	[1]歪[3]威[1]外
#ue	
k	[7]国
x	[7]或
Ø	[7]物
#uei	
k	[1]归规龟硅瑰闺圭[3]鬼轨诡[5]桂贵跪级[1]柜
kʰ	[1]亏窥盔[2]奎魁遗葵[5]溃愧匮
x	[1]灰诙挥恢辉徽[2]回蛔茵[3]悔毁[5]卉讳晦秽荟烩[1]会贿绘慧汇惠
Ø	[1]威危偎巍微魏[2]围唯维惟帷[3]委尾伟苇伪狠萎纬[5]喂胃猬[1]为未谓味位慰蔚尉
#uan	
k	[1]关[5]惯盥
x	[2]还环
Ø	[1]湾弯[2]玩纵[3]晚婉挽[1]万
#uən	
tʰ	[2]囤
n	[1]抡[2]轮仑论{论语}
k	[3]滚辊硫[5]棍
kʰ	[1]昆坤[3]捆[5]困
x	[1]婚昏荤[2]魂浑横馄浑[3]混
Ø	[1]温瘟[2]文蚊闻纹[3]稳吻紊[1]问
#uon	
Ø	[2]丸完顽[3]碗皖娩惋
#uɛ	
tʂ	[1]□[3]拽
tʂʰ	[1]揣[5]踹
ʂ	[1]摔衰[3]甩[5]帅率蟀
#uɛn	
tʂ	[1]专砖娟捐涓鹃[3]倦转[5]卷倦眷传赚撰篆转
tʂʰ	[1]川穿圈[2]传船权全泉拳痊蜷[3]犬喘并[5]串劝券圈{猪圈}
ʂ	[1]闩拴栓宣喧渲[2]悬玄旋漩[5]炫绚眩涮
Ø	[1]鸳冤渊[2]元园圆员袁原援缘源辕猿[3]远阮软[1]怨苑院愿
#uən	
tʂ	[1]军均君菌均腌谆[3]准[5]俊郡峻竣骏浚
tʂʰ	[1]春[2]唇裙群醇鹤淳[3]蠢
ʂ	[1]勋熏薰[2]询旬纯循寻巡荀[5]舜瞬训迅汛驯[1]殉顺
Ø	[1]晕[2]匀云芸耘[3]允永陨[5]润韵[1]熨蕴酝运孕
#uei	
tʂ	[1]追锥椎[5]坠缀赘
tʂʰ	[1]吹炊[2]垂锤捶
ʂ	[2]谁[3]水[5]睡税
Ø	[3]蕊[5]瑞睿锐
#ue	
tʂ	[7]决拙诀掘崛爵倔
tʂʰ	[2]瘸[7]缺
ʂ	[1]靴[7]穴血说雪
Ø	[3]惹[1]哕[7]曰月越悦跃阅岳粤热
#ɑŋ	
p	[1]帮邦洪梆[3]绑榜膀[5]棒谤磅镑泵
pʰ	[1]乓胖{胖头鱼}[2]旁彷膀{膀胱}庞螃[5]胖
m	[2]忙盲芒茫[3]莽蟒
f	[1]方坊芳[2]房防妨肪[3]纺仿访[5]放
t	[1]当档铛[3]党挡[5]当{典当}荡[1]宕档
tʰ	[1]汤蹬[2]唐塘堂糖搪膛蝗棠[3]倘躺淌镜[5]烫趟
n	[1]□[2]囊狼郎廊榔琅螂[3]攘朗[1]浪蒗
tʂ	[1]张章彰嶂璋樟[3]长涨掌[5]仗帐账杖涨障瘴胀
tʂʰ	[1]倡昌娟猖[2]长肠常尝嫦偿[3]厂场敞[5]唱畅倡[1]丈
ʂ	[1]伤商荡裳[3]赏[1]上尚
ʐ	[1]嚷[2]瓤[3]壤[1]让
ts	[1]脏赃[5]葬奘[1]藏{西藏}
tsʰ	[1]苍仓舱沧枪[2]藏
s	[1]桑丧{丧事}[3]嗓[5]丧{丧失}
k	[1]刚肛钢纲缸[3]讲{白}岗港[5]杠
kʰ	[1]康慷糠[2]扛[5]抗亢炕囥
x	[1]夯[2]行航杭[1]项巷{白}
ŋ	[1]昂[3]仰
#in	
p	[1]兵彬斌滨冰宾濒缤槟[3]饼丙秉享柄摈[5]并殡鬓
pʰ	[1]乒拼[2]贫殡频凭瓶平屏萍坪苹[3]评[5]聘[1]病
m	[2]民明敏鸣铭名冥螟[3]抿闽皿悯泯[1]命
t	[1]丁叮盯疗[3]顶鼎[5]订钉锭
tʰ	[1]厅[2]廷停庭亭婷蜓[3]霆挺铤[5]听[1]定
n	[1]拎[2]宁拧泞凝邻林临淋琳磷鳞麟伶灵玲铃凌陵聆菱零龄绞羚[3]凛领领[1]令另
tɕ	[1]巾津金斤矜筋经惊荆晶睛精鲸[3]仅尽紧谨井阱颈警憬[5]进劲浸晋烬禁觐径竞竟敬境镜[1]净尽
tɕʰ	[1]亲钦侵轻清青倾卿氢蜻[2]芹琴秦禽勤擒情晴擎[3]请寝顷[5]庆磐罄[1]静近
ɕ	[1]心新鑫芯锌星腥惺猩辛兴欣薪馨[2]行刑型形邢[3]醒省摸[5]性姓信衅杏幸
Ø	[1]音阴因茵荫姻应英鹰婴莺婴樱鹦[2]吟银垠寅淫迎盈萤营莹萦楹赢颖[3]引饮蚓隐瘾影[5]印映
#oŋ	
p	[1]崩绷{绷带}嘣[3]绷{绷着脸}[5]蚌蹦
pʰ	[1]抨砰烹唠[2]朋棚蓬鹏澎篷膨[3]捧[5]碰
m	[1]蒙[2]萌朦盟檬檬矇[3]猛蠓[1]孟梦
f	[1]风峰丰封疯锋枫蜂[2]冯逢缝{缝纫}[3]讽[1]凤奉缝{门缝}
t	[1]东冬咚[3]懂董[5]栋侗冻
tʰ	[1]通[2]童瞳铜桐彤咚同[3]统捅桶筒[5]痛[1]动洞
n	[2]农浓脓龙隆笼{鸟笼}聋珑胧[3]笼{笼罩}垄拢[5]弄[1]弄
tʂ	[1]中钟忠终衷[3]肿种冢踵[5]种{种地}众仲
tʂʰ	[1]冲{冲动}充憧忡[2]虫重崇[3]宠[5]冲{冲人}统[1]重
ʐ	[2]容戎溶荣融榕绒熔蓉[3]冗
ts	[1]宗综棕踪鬃[3]总[5]纵粽
tsʰ	[1]匆聪葱囱[2]从丛
s	[1]松篙淞[3]耸怂[5]送宋讼诵颂
k	[1]工公功宫弓攻供恭躬蛤[3]汞巩拱[5]贡供
kʰ	[1]空[3]孔恐[5]空控[1]共
x	[1]哄轰烘[2]红宏弘鸿洪虹[3]哄[5]证 □{闻}
#iɑŋ	
n	[2]娘量{测量}良凉梁粮粱[3]仰两辆俩[1]酿亮谅晾量{数量}
tɕ	[1]江将姜浆僵疆[3]奖蒋桨[5]匠降将{将领}
tɕʰ	[1]枪腔羌锵[2]强墙立[3]抢[5]呛[1]像{白}
ɕ	[1]香乡相厢湘箱镶襄[2]祥翔详[3]想享响[5]向相{相机}[1]象像
Ø	[1]央殃秧鞍[2]杨阳洋扬疡佯羊[3]养氧痒[1]样漾恙
#uɑŋ	
tʂ	[1]装庄妆桩[5]壮
tʂʰ	[1]窗疮[2]床[3]闯[5]创[1]撞幢
ʂ	[1]双霜孀孺[3]爽
#uɑŋ	
k	[1]光肤咣[3]广犷[5]逛
kʰ	[1]框眶讴筐匡[2]狂[3]□{惹}[5]矿旷况
x	[1]慌荒[2]黄皇煌蝗磺蝗横簧[3]幌谎恍[5]晃{闲晃}[1]幌
Ø	[1]汪[2]王亡[3]网枉往[1]妄忘旺望
#ioŋ	
tɕ	[3]炯迥窘
tɕʰ	[2]穷琼弯
ɕ	[1]凶兄胸匈汹[2]熊雄
Ø	[1]拥庸雍佣臃雍[3]勇永咏泳蛹俑甬踊[1]用佣
#uoŋ	
Ø	[1]翁嗡[5]瓮
#n̩	
Ø	[3]你
