#符号说明：-白=文/书*俗?待考	
#调值	［1］214［2］44［5］52［7］4［8］213
#ɿ	
ʦ [1]紫资姊子枝纸芝止指滋梓脂旨[5]字自至志	
ʦʰ [1]此齿[2]雌瓷辞磁[5]刺赐次伺翅	
s [1]私死司丝施匙师狮尸屎史诗始斯[2]时[5]四似是示视士柿事试市饲	
z [5]腻	
#ʅ	
tʂ [1]知[5]滞制致稚置痔治掷炙	
tʂʰ [1]侈豉痴耻[2]池迟持	
ʂ [5]世逝	
#i	
p [1]彼比秕{秕谷}[5]蔽弊毙蓖闭陛臂=被{~子}被{被动}鄙备碧璧	
pʰ [1]批痹披[2]皮疲脾琵[5]譬屁	
m [2]迷米谜靡眉美	
t [1]低底[5]帝弟第地	
tʰ [1]梯体[2]题[5]替	
n [1]你拟[2]泥尼疑[5]义{地名}溺	
l [1]礼李里[2]犁离{~开半寸}离{离别}厘[5]例励厉丽梨利痢吏栗	
ʨ [1]挤鸡肌几基几{~乎}几{~个}机饥{~荒}[5]祭际济剂计寄技冀纪记忌既季寂	
ʨʰ [1]妻启企欺起岂祈乞[2]齐脐奇骑歧祁旗[5]契器弃	
ɕ [1]洗玺徙牺西熙溪喜希稀惜{可~} [5]细婿系{联~}戏	
Ǿ [1]蚁椅伊医已以衣依尾-{~巴}[2]仪移[5]艺缢义{仗~}易姨肄意异毅逸忆亿抑翼益亦译疫役	
#u	
p [1]补堡{地名}[5]布部步抱-菢-	
pʰ [1]铺{铺设}普卜{萝~} [5]铺{店铺}脯瀑	
m [1]某亩牡拇[2]模{~子}模{~范}摹毛-谋[5]墓牧幕	
t [1]都{都城}堵[5]肚度	
tʰ [1]土吐否图	
tʂ [1]猪诸煮蛛拄珠主锥-[5]著助驻柱住注	
tʂʰ [1]初础褚{地名}楚储处{相~}处{到~}吹-帚-[2]锄除厨槌-锤-	
ʂ [1]梳疏蔬数{动词}书鼠薯枢输殊水-粟蜀[2]谁-[5]数{名词}恕竖树睡-叔-	
ʐ [1]汝儒乳擩[2]如	
k [1]姑古[5]雇故	
kʰ [1]枯苦[5]裤	
x [1]呼虎肤斧敷抚否[2]壶傅浮符[5]户护赴父附富副妇	
Ǿ [1]五污武[2]吴无[5]误务戊恶{可~}	
#y	
n [1]女	
l [1]旅缕屡履累{累积}垒-{~墙墙}[2]驴[5]虑累{连累}泪类	
ʨ [1]居举拘矩嘴-追[5]聚锯巨句具醉	
ʨʰ [1]蛆趋趣区瞿{姓}[2]渠[5]去脆-	
ɕ [1]墟虚许虽[2]徐需髓-随-{~便}[5]絮序续岁-穗续隧	
Ǿ [1]语与雨[2]鱼淤迂盂余裕吁愉愚[5]御誉芋愈遇喂{喂食}玉欲浴	
#ɚ	
Ǿ [1]儿尔而耳饵[5]二贰	
#a	
p [1]疤耙{~地}把{量词，动词}[5]欛{柄}罢爸	
pʰ [1]钹[2]爬[5]怕	
m [1]马妈[2]麻[5]骂	
t [1]打	
tʰ [1]他	
n [5]哪	
l [5]拉落{~下，遗漏}	
ʦ [1]渣榨闸[5]栅	
ʦʰ [2]茶查[5]岔差{差劲；错误}	
s [1]沙洒撒{~种}萨	
tʂ [1]遮争-睁-	
tʂʰ [1]扯{~面}车{风~~}	
ʂ [1]赊生{生熟}甥[2]蛇[5]厦	
ʐ [1]惹{得罪人，~人；不高兴，~下}	
k [5]哥	
ŋ [1]腌{~臜}俺{我的，我们的}	
x [2]还{~有}[5]下-{底下}夏-吓{~唬}	
#ia	
t [1]爹	
n [1]哑[2]牙[5]押压轧砑	
ʨ [1]姐借加假{真假}佳[5]假{请~}架	
ʨʰ [2]茄	
ɕ [1]些写[2]邪斜霞峡辖[5]杏下={~降}夏=卸-{~货}	
Ǿ [1]也野[5]亚爷夜{~来，指昨天}	
#ua	
tʂ [1]爪抓=	
ʂ [1]耍	
k [1]瓜寡[5]挂卦	
kʰ [1]夸垮[5]跨	
x [1]花华铧[2]划{~船}[5]画话化划{计~}	
Ǿ [1]瓦挖[2]蛙	
#ya	
l [1]捋{~起袖子}	
ʨʰ [2]瘸	
ɕ [2]斜{~面}横-{霸~，~人：霸道，厉害}	
Ǿ [1]哕{呕吐}	
#ə	
p [1]菠簸{~一下}[5]簸{~箕}	
pʰ [1]坡[2]婆[5]破	
m [2]馍磨{~面}忙膜[5]莫磨{石磨}	
t [5]大	
tʰ [2]驮	
n [2]挪	
l [2]箩{~子}	
tʂ [1]者张{量词一~；动词~开}长{生长}涨蒸正{~月}[5]胀丈{~人}杖	
tʂʰ [1]车[2]长{~短}肠[5]秤唱	
ʂ [1]奢晌-{前~，后~}声[2]尝-裳盛{~饭}[5]射赦社上{~山}上{~面}剩摄	
ʐ [2]瓤	
k [1]歌[5]个={~人}	
kʰ [1]可科颗[5]课炕渴	
ŋ [1]我[2]蛾讹{~赖，~人}俄[5]饿鄂	
x [1]荷{拿东西}[2]何河{~滩}[5]贺喝{~彩}鹤吓{恐~}	
#iɛ	
p [1]冰{形容冰凉}[5]病伯{伯父}	
pʰ [2]平坪	
m [2]明名{名字}[5]命{性命}篾	
t [1]爹=钉{~子}靪{~鞋}[5]钉{~住}	
tʰ [1]听	
n [2]娘	
l [1]领岭两{~个}两{斤两}[2]量{量长短}粮梁{房梁}凉凌{积冰，冻~}铃另[5]亮辆	
ʨ [1]秸{麦~}街解{~开}阶惊精井奖[2]界=芥疥匠{石~}镜净	
ʨʰ [1]枪抢清轻{轻重}青[2]墙强{倔强}晴	
ɕ [1]箱星{~宿}腥醒响想[2]谐携[5]谢懈像向-{~着谁}泄蟹	
Ǿ [1]养{~活}[2]阳{~面}蝇赢[5]羊样{模~}影{影子}液	
#uə	
t [1]多躲[5]剁垛{柴圪~}	
tʰ [1]拖椭汤[5]烫唾	
n [1]那{第三人称代词}[5]糯诺	
l [1]啰{~嗦}裸[2]骡[5]摞	
tʂ [1]左装庄[5]坐座昨=	
tʂʰ [1]搓疮[2]藏{隐藏}床{小板凳，~~}窗[5]错	
ʂ [1]嗦{啰~}锁琐所霜{落~了}双索	
k [1]锅光{光滑}[5]个{~人}	
x [1]方[2]房黄簧[5]放	
Ǿ [2]王{地名}[5]忘旺{人名}沃	
#yɛ	
ʨ [1]□{~的，形容人没情义}	
ɕ [1]靴兄{~弟}	
#ɛi	
p [1]摆杯背碑卑[5]拜辈背{~诵}倍焙	
pʰ [2]排牌赔[5]派败配	
m [1]买[2]埋[5]卖迈妈	
t [1]呆[5]戴带贷待怠代袋大{~黄}	
tʰ [1]奤[2]抬台{圪~~}台{阳~} [5]太	
n [1]乃奶[2]崖捱{~打}[5]耐=奈内	
l [5]赖来	
ʦ [1]栽争{~夺}睁{~开}姐灾宰载{~重}斋绽={破绽}[5]再在借载{满~}债寨	
ʦʰ [1]彩{云~}采差{出~}[2]裁才{~来，~间}才{才干}材财豺柴[5]菜蔡	
s [1]些写腮筛生{生熟}甥{外~子}[2]邪斜[5]赛晒	
k [1]该改[5]盖概丐钙	
kʰ [1]开凯慨楷	
ŋ [1]哀碍埃蔼挨矮隘[5]艾{~叶}爱{羡慕}	
x [1]海[2]鞋[5]害解{姓}解{晓也}杏亥骇	
Ǿ [5]哎	
#uɛi	
t [1]堆[5]对队	
tʰ [1]推腿	
l [2]雷{吼~}	
tʂ [5]拽最罪	
tʂʰ [1]揣崔猜	
ʂ [1]衰[5]帅碎	
k [1]乖柺[5]怪	
kʰ [5]块会{~计}筷快	
x [1]灰[2]回怀槐[5]坏会{~不~}会{开~}	
Ǿ [1]歪[5]磑{推~}外	
#ei	
p [1]悲[5]贝	
pʰ [5]沛	
m [1]每[2]梅煤[5]妹媚寐	
ʦ [2]贼{~眉溜眼}	
x [5]孩	
#uei	
t [5]兑	
tʰ [5]蜕{~皮}	
l [1]垒=[5]类	
tʂ [5]缀赘	
tʂʰ [1]炊[2]垂[5]翠粹	
ʂ [1]虽[2]隧[5]税	
ʐ [1]蕊[5]芮锐瑞	
k [1]规诡龟轨归鬼[5]刽桂柜贵	
kʰ [1]盔亏[2]葵[5]跪溃愧	
x [1]悔非飞妃麾毁辉徽翡[2]匪肥[5]贿晦汇绘秽惠慧痱费讳	
Ǿ [1]微危伪萎委威伟[2]为{作~}维唯围[5]卫味为{为什么，~甚}位魏慰胃	
#ɑu	
p [1]包饱褒保堡{~垒}[5]报暴豹鲍	
pʰ [1]刨剖[2]跑袍[5]泡炮雹	
m [1]卯[2]茅矛[5]貌茂贸帽	
t [1]刀导[5]倒{颠~}倒{~水}道	
tʰ [1]掏讨[2]淘[5]套桃	
n [1]脑恼[5]闹	
l [1]老[2]捞[5]涝烙{~饼}骆{~驼}酪	
ʦ [1]糟枣找[5]灶罩笊{~篱}焯	
ʦʰ [1]操草抄炒[2]曹[5]造糙	
s [1]扫稍捎臊	
z [2]挠	
tʂ [1]朝招召沼[5]赵照	
tʂʰ [1]超[2]潮	
ʂ [1]烧少[2]韶[5]绍邵	
ʐ [1]扰[2]饶[5]绕	
k [1]高稿[5]告	
kʰ [1]烤[5]靠	
ŋ [1]袄[2]熬[5]鏊{~子}懊奥	
x [1]好{~坏}[2]蒿[5]号浩好{喜~}	
#iɑu	
p [1]膘标表彪	
pʰ [1]漂飘[2]瓢[5]票	
m [1]秒[2]苗[5]妙	
t [1]刁[5]吊	
tʰ [1]挑[2]条调{~饭，~料}[5]跳	
n [1]咬淆{混~}鸟[5]尿	
l [1]燎了{了结}[2]疗撩[5]瞭料廖{姓}	
ʨ [1]胶娇矫浇缴铰搅蕉剿[5]教校{~对}觉{睡~}噍{驴~磨}轿叫	
ʨʰ [1]敲巧悄[2]瞧桥[5]俏窍	
ɕ [1]消小晓[5]孝效笑	
Ǿ [1]妖邀腰舀杳[2]摇尧[5]靿要耀鹞{鸟~子}	
#əu	
t [1]都{~是}兜[5]斗㪗{~开，~一阵}豆逗	
tʰ [1]偷[2]头投[5]透	
n [1]努[2]奴[5]怒	
l [1]鲁篓搂{抱}[2]炉庐楼搂{~揽}耧[5]漏陋路	
ʦ [1]租祖走邹[5]奏皱骤	
ʦʰ [1]粗[2]瞅愁[5]醋凑	
s [1]苏叟搜[5]素塑嗽{咳~}瘦漱	
tʂ [1]肘周[5]昼纣宙咒	
tʂʰ [1]抽丑[2]稠仇[5]臭	
ʂ [1]收手[5]兽受寿	
ʐ [1]柔揉	
k [1]钩沟狗勾[5]构	
kʰ [1]抠口[5]扣	
ŋ [1]藕偶欧呕[5]沤怄	
x [1]吼[2]猴[5]厚后候	
#iəu	
m [5]谬	
t [1]丢	
tʰ [2]提{提东西}	
n [1]扭[2]牛	
l [1]柳[2]流刘[5]溜	
ʨ [1]九韭鬏{圪~~}酒纠[5]救舅旧就	
ʨʰ [1]秋丘[2]球囚	
ɕ [1]羞休朽[5]嗅宿{星~}锈袖	
Ǿ [1]有优幽[2]邮油[5]幼又右诱柚	
#an	
p [1]班扳板搬[5]扮瓣办半绊伴	
pʰ [1]攀潘[2]盘[5]盼判叛	
m [2]蛮瞒满[5]慢漫	
t [1]耽担胆丹单掸[5]担{~子}淡旦诞蛋	
tʰ [1]贪毯摊坦[2]潭谭弹痰[5]探炭	
n [2]男南难	
l [1]揽懒[2]蓝兰栏[5]烂滥	
ʦ [1]簪盏攒{积攒}[5]暂站{~立}站{车~}斩蘸赞栈钻{木工用具}	
ʦʰ [1]参惨餐产铲=[2]馋蚕惭残[5]灿	
s [1]三杉衫伞山[5]散	
z [2]□{：话多讨人厌}	
tʂ [1]沾粘瞻展毡[5]占战	
tʂʰ [2]蟾缠	
ʂ [1]陕闪删扇{动词}[5]疝膻善单{姓}禅{禅让}扇{~子}	
ʐ [1]染冉[2]黏-然燃	
k [1]感甘柑泔橄干{干湿}肝竿杆擀赶[5]干{才干}	
kʰ [1]堪坎勘砍看{~守}刊[5]看{~着}	
ŋ [1]庵鞍安[5]暗岸案按	
x [1]喊酣憨鼾[2]含函咸-[5]撼憾汗焊馅-	
Ǿ [2]昂	
#iɛn	
p [1]贬鞭编边扁[5]变便辩遍辫{~子}	
pʰ [1]篇偏[2]便{~宜}[5]骗片	
m [1]免[2]棉眠[5]面	
t [1]掂{~掇}点颠典[5]店簟电垫	
tʰ [1]添舔天[2]甜田填	
n [1]淹捻撵眼[2]拈{~起来}颜年[5]酽{浓}念雁砚{地名}	
l [1]敛殓脸[2]镰帘连联莲[5]练炼链恋量{数量}	
ʨ [1]减碱监尖检俭兼艰间简拣间{~断}奸煎剪肩坚茧奖将{~来}疆姜江讲豇[5]将{~才}渐剑谏鉴舰溅践贱件健键见浆酱降{下~}	
ʨʰ [1]锹鵮签潜牵铅迁浅千遣谦[2]钳前乾[5]嵌欠歉钱	
ɕ [1]掀仙鲜癣先显香[2]弦降{投~}嫌闲涎衔[5]宪献现县陷象陷限线羡	
Ǿ [1]掩腌蔫演堰烟仰央[2]研岩炎盐闫檐严延沿秧{~歌}[5]厌验艳焰谚燕咽宴样{一~}	
#uan	
t [1]端短[5]断{决~}锻断{~绝}段	
tʰ [2]团	
n [1]暖	
l [1]卵[2]□{~蛋蛋：揉团成圆状物}[5]乱	
tʂ [1]专砖[5]赚钻撰转{转动；转向}传{传记}篆	
tʂʰ [1]穿喘[2]椽船[5]窜篡串	
ʂ [1]酸闩拴[5]算蒜涮	
ʐ [1]软阮	
k [1]官观管馆关[5]灌冠惯	
kʰ [1]宽款	
x [1]欢反翻[2]还{~原}环烦[5]贩饭唤换幻患宦	
Ǿ [1]皖豌剜碗腕弯湾晚[2]玩完丸顽[5]万蔓{瓜~子}	
#yɛn	
ʨ [1]□{：骂人}卷捐[5]绢圈{猪~}倦	
ʨʰ [1]圈{圆~}犬[2]全泉权[5]劝	
ɕ [1]轩宣选喧[2]旋玄悬[5]旋{~吃~做}镟楦{鞋~，袜~}眩	
Ǿ [1]冤远[2]圆缘原园渊[5]愿院怨	
#aŋ	
p [1]帮榜邦绑[5]谤傍	
pʰ [2]滂旁膀庞	
m [1]蟒[2]芒盲	
t [1]党挡[5]当荡宕	
tʰ [1]躺[2]糖[5]趟	
n [1]囊	
l [1]朗[2]廊郎{货~担}[5]浪	
ʦ [1]赃[5]葬藏{西~}	
ʦʰ [1]参惨餐产铲=[2]馋蚕惭残[5]灿	
s [1]嗓丧{婚~}[5]丧{~失}	
z [2]□{：话多讨人厌}	
tʂ [1]张{姓}章掌[5]障账	
tʂʰ [1]场厂昌[2]常[5]畅倡	
ʂ [1]商赏[5]尚	
ʐ [1]壤嚷[5]让	
k [1]钢缸港[5]杠	
kʰ [1]康慷[2]扛[5]抗	
x [2]行航杭	
Ǿ [2]昂	
#iaŋ	
l [2]梁{姓}	
#uaŋ	
tʂ [5]壮状	
tʂʰ [1]闯[2]床[5]创撞-{被车~}	
ʂ [1]爽	
k [1]光{阳~}广[5]逛	
kʰ [1]筐眶[2]狂[5]况矿旷	
x [1]荒{饥~}慌谎仿芳纺访[2]皇蝗凡肪妨防[5]晃泛范犯	
Ǿ [1]网枉往[2]汪王{姓}[5]旺望	
#əŋ	
p [1]本[5]锛笨崩迸	
pʰ [1]喷捧[2]盆朋彭膨棚篷蓬[5]喷{~香}	
m [1]猛虻蠓[2]门萌盟蒙[5]闷孟	
t [1]登灯等镫[5]凳邓澄{使水清}瞪	
tʰ [2]腾誊疼	
n [2]能	
l [1]冷[2]棱	
ʦ [1]增曾{姓}[5]憎赠锃	
ʦʰ [1]撑[2]岑曾{~经}层[5]衬蹭	
s [1]森僧牲省{~长}省{节~} [5]渗	
z [2]□{：碾，磨}	
tʂ [1]遮蔗针枕珍臻真诊征拯筝贞侦整[5]镇阵震证症郑正政	
tʂʰ [1]惩称{~呼}逞[2]沉陈尘晨澄{~清}橙程城乘承铛[5]称{相~}	
ʂ [1]深审婶身升[2]神绳[5]葚甚肾慎胜盛{兴~}	
ʐ [1]纫{缝~}忍韧仍[2]人仁任{姓}[5]刃认任{责~}	
k [1]跟根庚哽耕耿[5]更	
kʰ [1]垦恳肯坑	
ŋ [1]恩	
x [1]很[2]恒亨衡横痕[5]恨	
#iəŋ	
p [1]禀彬宾冰兵丙秉柄饼[5]殡鬓{~角}并{合~}	
pʰ [1]品[2]贫频凭评屏萍瓶[5]聘姘拼	
m [1]闽敏抿{~尖}皿[2]民鸣铭	
t [1]丁顶[5]订定	
tʰ [1]挺[2]厅停	
n [2]银凝宁[5]硬	
l [1]檩[2]林淋邻鳞陵灵零[5]吝令赁	
ʨ [1]巾紧仅斤筋谨茎京鲸晶睛颈经今襟{袄~子}锦津[5]劲近境敬竞静劲径浸禁妗{~子}尽进晋	
ʨʰ [1]侵{~害}寝钦亲倾顷请轻{年~}蜻[2]琴勤芹情[5]亲{~家}庆磬	
ɕ [1]心辛新欣兴{兴盛}省{反~}馨[2]寻-{~东西，~人}行{~为}行{品~}形型刑陉{地~}[5]衅幸性姓	
Ǿ [1]音阴饮{~料}寅因姻引殷隐尹鹰樱英婴颖[2]吟迎盈营萤[5]荫窨{地~子}饮{~牛，~马}印应	
#uəŋ	
t [1]墩东董冬[5]顿盾钝冻动洞	
tʰ [1]吞通桶捅铜筒统[2]臀[5]痛	
n [2]农脓浓[5]嫩弄	
l [1]拢垄[2]伦沦轮聋隆龙[5]论	
tʂ [1]尊遵准棕总宗中忠终钟种{~子}[5]纵仲众重{轻~}种	
tʂʰ [1]村春皴葱充宠冲[2]存唇纯丛从虫崇重{~复}[5]寸	
ʂ [1]孙损笋松{松树}嵩松{松散}[5]顺舜送宋颂	
ʐ [1]冗[2]绒茸融[5]润闰	
k [1]滚工汞弓躬巩[5]棍贡供共	
kʰ [1]啃昆坤捆空{~虚}孔恐[5]困空{~缺}	
x [1]昏婚浑{~水子}分粉芬哄{哄骗}风疯讽丰封蜂 [2]魂虹轰宏焚红冯缝{缝纫}[5]混粪奋愤份哄{起~}奉缝{缝隙，圪~~}	
Ǿ [1]温瘟稳刎[2]文闻[5]问瓮	
#yəŋ	
ʨ [1]均钧窘菌君军迥鬃{马~~，指刘海儿}[5]俊粽郡	
ʨʰ [2]群裙琼穷	
ɕ [1]熏勋胸凶[2]荀旬循熊雄[5]讯逊迅殉训	
Ǿ [1]允永泳雍拥涌[2]匀云荣容熔[5]韵运熨孕用	
#əʔ	
p [7]钵拨博泊不把{介词}	
pʰ [7]泼朴扑[8]薄	
m [7]末沫抹寞摸木目穆{姓}[8]没	
t [7]得德	
n [8]那{远指代词}	
l [7]了	
ʦ [7]脊{~背}子{子尾}	
ʦʰ [7]娶[8]铲-{~子}	
s [7]塞厮{~打，~跟}	
tʂ [7]执汁秩质稙{早种禾}直织职殖植只[8]蛰{惊~}	
tʂʰ [7]值赤斥吃[8]侄着{睡~}扯{拉~}	
ʂ [7]涉湿设失室识式饰释适[8]实十拾折{弄~了}勺食蚀石舍{宿~}	
ʐ [7]日	
k [7]骨{~头}各阁搁胳格革隔	
kʰ [7]壳刻{时~}刻{用刀~}克客	
ŋ [7]恶{善恶，~子}额扼	
x [7]郝{姓}黑	
#iəʔ	
p [7]鳖憋笔毕必弼北逼百柏伯{大~子，丈夫的哥哥}壁 [8]别{区~}别{离~}	
pʰ [7]撇匹拍僻辟劈[8]白鼻	
m [7]灭密蜜墨麦脉{血~}觅	
t [7]跌的{目~}滴敌	
tʰ [7]帖贴铁踢[8]笛叠{~被子}碟牒{地名}	
n [7]聂{姓}业孽{罪~}捏虐疟逆	
l [7]猎立粒列烈裂劣力历	
ʨ [7]接捷劫集辑急级及杰揭节结洁疾吉脚饺{~子，指大扁食}角即极积绩迹籍击激	
ʨʰ [7]妾怯泣切七漆砌[8]截{拦截，~住}	
ɕ [7]胁协习袭吸歇蝎楔{木~~}悉膝{圪~}熄息昔席夕锡析	
Ǿ [7]叶页噎乙一药[8]钥	
#uəʔ	
t [7]读督[8]独毒	
tʰ [7]突秃[8]犊	
n [7]□{：踒了手指}	
l [7]律率勒{~住}鹿禄录陆	
tʂ [7]拙卒烛嘱触{接~}竹筑逐祝做[8]族	
tʂʰ [7]猝出促[8]畜{~牲}	
ʂ [7]说术{白术}术述速束属[8]赎熟	
ʐ [7]入辱褥	
k [7]国郭□{：果子核}谷[8]个{量词}	
kʰ [7]窟哭酷	
x [7]忽{~绕，~悠}佛{仿~}霍缚福复覆[8]藿服	
Ǿ [7]物	
#yəʔ	
l [7]略掠绿	
ʨ [7]绝厥掘决诀橘掘觉{~得}角足菊掬局[8]镢{~头}	
ʨʰ [7]矬缺黢屈雀鹊确曲{~折}	
ɕ [7]雪血穴戌恤削肃宿{~舍，一~}畜{~牧}蓄雪[8]俗	
Ǿ [7]悦阅越曰粤约{大~，~定}跃岳乐{音乐}域育狱熨{~帖}[8]月	
#aʔ	
p [7]八勃剥驳	
pʰ [7]胖[8]拔	
t [7]答搭达	
tʰ [7]拓{~本，~上写}沓塔塌溻{~湿了}特踏	
n [7]纳捺	
l [7]腊蜡拉{~拖鞋}辣落{~下来}洛络乐[8]肋	
ʦ [7]劄{~针}眨蜇作则泽窄摘责[8]铡{~刀}指{~头}	
ʦʰ [7]插擦察侧测拆策册厕[8]杂炸{用油炸}差{参~}	
s [7]涩撒{~手}杀虱色啬[8]舌	
tʂ [7]折{~叠}褶{圪~~}哲辙折{~断}	
tʂʰ [7]彻撤	
ʐ [7]热	
k [7]鸽割	
kʰ [7]磕壳	
x [7]喝瞎-[8]合盒	
#iaʔ	
n [7]鸭镊{~子}	
ʨ [7]夹裌{~袄}甲胛饺{~子，指大扁食}角	
ʨʰ [7]恰掐洽	
ɕ [7]狭瞎=	
#uaʔ	
t [7]掇{拾~}掇{掂~}	
tʰ [7]脱托[8]夺{争~}	
tʂ [7]桌卓琢啄捉抓	
tʂʰ [7]戳{~子}镯{手~子}锉{~子}	
ʂ [7]刷朔缩摔	
ʐ [7]若弱	
kʰ [7]括阔扩廓	
k [7]聒刮	
x [7]豁{豁口，~差子}或惑获法乏发{~财}罚[8]发{头~}滑猾劐{~开}活	
Ǿ [7]袜握	
